     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000  9999.000     0.000     0.000     0.000     0.000     0.000     0.000     0.688     0.074     0.036     0.000     0.072     0.024     0.005     0.000     0.065     0.014     0.021     2.000     2.000     6.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.412     0.001     0.000     0.533     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.000     0.043     1.000     4.000     4.000
     0.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.000     0.000     0.000     0.000     0.179     0.516     0.143     0.084     0.011     0.015     0.013     0.003     0.011     0.009     0.005     0.009     2.000     2.000     6.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.922     0.024     0.005     0.000     0.027     0.002     0.000     0.000     0.016     0.001     0.001     2.000     2.000     6.000
     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.119     0.000     0.000     0.001     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.850     0.000     0.000     0.028     4.000     1.000    13.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.922     0.024     0.005     0.000     0.027     0.002     0.000     0.000     0.016     0.001     0.001     2.000     2.000     6.000
     1.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.002     0.000     0.009     0.001     0.183     0.012     0.008     0.000     0.205     0.006     0.040     0.001     0.441     0.091     4.000     3.000    15.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.872     0.000     0.000     0.016     0.056     0.000     0.000     0.001     0.053     0.000     0.000     0.002     2.000     1.000     5.000
     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.002     0.000     0.000     0.000     0.043     0.004     0.001     0.000     0.000     0.000     0.000     0.000     0.686     0.129     0.135     4.000     2.000    14.000
     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000  9999.000     0.000     0.001     0.413     0.086     0.090     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.266     0.057     0.086     1.000     2.000     2.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.280     0.007     0.002     0.000     0.553     0.045     0.005     0.000     0.100     0.005     0.004     3.000     2.000    10.000
