1	1	1	1	1	1	1	1	0	0	.	.	36	49.5	41.17	.	0	.	.	.	.	.	0.957	0.043	0	0	1	1002	2	.	.	.	0.064	0.882	0.004	0.05	2
0	0	1	0	0	.	.	.	.	.	0	.	.	.	.	.	1	.	.	.	.	.	0	0	0.934	0.066	3	1004	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1005	2	.	1	1	0.004	0.048	0.02	0.927	4
1	1	0	0	0	.	.	.	.	.	.	35.79	.	.	.	.	0	.	.	.	.	.	0.006	0	0.994	0	3	1006	.	.	.	.	.	.	.	.	.
0	0	0	1	1	0	0	0	0	0	0	53.29	.	63.29	68.57	.	0	0	1	1	1	0	0.008	0.965	0	0.026	2	1009	2	0	0	0	0	0.041	0.951	0.009	3
0	1	1	0	0	1	1	1	1	1	0	55.49	62.35	78.89	85.3	80.23	0	0	0	0	0	0	0.013	0	0.987	0	3	1011	2	0	1	0	0.978	0.002	0	0.02	1
0	0	0	0	0	0	0	0	1	0	.	45.21	51.24	57.33	57.25	65.05	1	0	0	0	1	1	0	0	0.117	0.883	4	1012	2	0	0	0	0	0.15	0.739	0.111	3
1	1	0	1	1	.	.	.	.	.	0	61.64	.	.	.	.	1	1	0	1	1	0	0.58	0.42	0	0	1	1016	.	.	.	.	.	.	.	.	.
1	1	1	1	1	1	1	1	1	1	1	71.57	79.55	91.12	87.71	89.64	0	1	1	1	1	1	0.957	0.043	0	0	1	1017	2	1	1	1	0.978	0.002	0	0.02	1
1	0	0	0	0	1	1	1	1	0	0	62.19	70.96	77.06	.	.	0	.	.	.	.	.	0	0	0.307	0.693	4	1023	2	.	1	1	0.678	0.269	0	0.053	1
1	0	0	1	1	1	1	1	0	1	0	39.06	42.48	.	.	.	0	.	.	.	.	.	0.031	0.964	0	0.006	2	1024	2	.	.	.	0.788	0.05	0	0.162	1
0	0	0	0	0	0	0	0	0	0	.	44.31	.	47.93	47.15	51.42	1	0	1	0	0	1	0	0	0.117	0.883	4	1029	2	0	0	0	0	0.041	0.951	0.009	3
1	0	0	0	0	.	.	.	.	.	.	68.9	72.43	.	.	.	1	.	.	.	.	.	0	0	0.307	0.693	4	1032	.	.	.	.	.	.	.	.	.
1	0	1	0	1	1	1	1	0	1	0	44.24	40.36	45.14	50.34	52.57	0	1	0	1	1	1	0.048	0.951	0	0.001	2	1033	2	0	0	0	0.788	0.05	0	0.162	1
1	1	1	1	1	0	0	0	0	0	.	48.46	52.89	62.23	66.09	.	1	.	.	.	.	.	0.957	0.043	0	0	1	1034	2	.	.	.	0	0.041	0.951	0.009	3
1	1	0	.	1	0	0	1	1	1	.	48.47	49.89	62.57	59.55	63.36	1	1	1	1	1	0	0.407	0.593	0	0	2	1036	2	0	0	0	0.239	0.052	0.001	0.709	4
1	0	0	0	0	0	0	0	0	0	0	34.89	41.85	33.37	63.42	.	1	.	.	.	.	.	0	0	0.307	0.693	4	1039	2	.	.	.	0	0.041	0.951	0.009	3
