casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
3114,2,1,0,1,0,9999,0,1,9999,9999,9999,9999,9999,63.97,9999,9999,9999,9999,9999,9999
5078,2,1,0,1,1,1,1,1,0,0,1,0,0,56.08,9999,9999,1,1,0.89,0
3644,2,1,0,1,1,1,0,0,1,1,1,1,1,60.79,9999,9999,1,1,0.89,0
6389,2,1,0,1,0,0,0,0,1,1,0,0,0,53.67,9999,9999,1,1,1,1
6825,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
6816,2,1,0,1,0,0,0,0,0,0,0,0,0,59.6,63.7,9999,0.5,0,0.88,0
3508,2,1,0,0,0,0,0,0,0,0,0,0,0,57.01,9999,9999,0.33,0,0.22,0
2721,2,1,0,0,0,1,0,0,0,0,0,0,0,47.74,9999,9999,9999,9999,9999,9999
6401,2,1,0,1,1,1,1,1,1,1,1,1,1,48.52,78.33,9999,1,1,1,1
4358,2,1,0,0,1,0,0,1,1,1,1,1,1,53.42,9999,9999,0.67,0,0.56,0
4424,2,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,51.62,9999,9999,1,1,1,1
2191,2,1,0,0,1,0,0,0,0,1,1,0,0,48.61,9999,9999,1,1,1,1
4054,2,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,39.83,9999,9999,9999,9999,9999,9999
3118,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,42.62,9999,9999,1,1,1,1
3458,2,1,0,1,1,1,1,1,1,1,1,1,1,57.63,9999,9999,9999,9999,9999,9999
5340,2,1,0,1,1,0,0,1,1,0,0,0,1,59.46,9999,9999,1,1,1,1
1152,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,35.54,9999,9999,9999,9999,9999,9999
2246,2,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,37.78,9999,9999,9999,9999,9999,9999
1978,2,1,1,0,1,0,1,1,9999,9999,9999,9999,9999,58.72,9999,9999,9999,9999,9999,9999
1389,2,0,0,1,1,1,1,0,1,1,1,1,1,44.9,9999,9999,0.33,0,0.67,0
4170,2,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,33.37,9999,9999,9999,9999,9999,9999
6448,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,65.4,9999,9999,9999,9999,9999,9999
1753,2,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,34.21,9999,9999,9999,9999,9999,9999
3522,2,1,1,0,0,0,1,0,1,0,0,0,0,51.4,53.75,9999,9999,9999,9999,9999
6539,2,0,1,0,0,0,0,0,1,1,1,1,1,59.03,77.13,77.73,1,1,1,1
5007,2,1,1,0,0,0,0,0,0,0,0,0,0,52.45,65.9,9999,0.67,0,0.89,0
2005,2,0,9999,0,1,0,0,0,9999,9999,9999,9999,9999,33.83,9999,9999,9999,9999,9999,9999
4305,2,0,0,1,1,1,0,1,1,0,1,0,0,41.25,9999,9999,9999,9999,9999,9999
2808,2,0,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2332,2,1,0,0,0,1,1,1,9999,9999,9999,9999,9999,49.89,9999,9999,1,1,1,1
2568,2,1,0,0,0,0,0,0,0,0,0,1,0,62.84,73.85,9999,1,1,1,1
2508,2,1,0,1,1,1,1,1,9999,9999,9999,9999,9999,60.41,9999,9999,1,1,1,1
5914,2,0,0,0,0,1,0,0,9999,9999,9999,9999,9999,52.41,9999,9999,9999,9999,9999,9999
4760,2,0,9999,1,0,1,0,0,9999,9999,9999,9999,9999,38.93,9999,9999,9999,9999,9999,9999
6097,2,1,0,1,0,1,0,1,9999,9999,9999,9999,9999,39.31,9999,9999,9999,9999,9999,9999
1814,2,0,0,1,0,1,1,0,0,0,1,0,0,9999,9999,9999,0.67,0,0.56,0
5597,2,0,1,0,1,0,1,1,1,0,0,0,0,35.49,9999,9999,0.33,0,0.78,0
2773,2,0,0,1,0,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,1
1599,2,0,0,1,1,1,0,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999
1072,2,0,0,1,1,1,1,1,1,0,0,0,0,63.07,75.08,70.44,1,1,1,1
4554,2,1,0,1,1,1,1,0,1,0,0,0,0,55.62,61.56,66.2,0.33,0,0.44,0
4188,2,0,0,1,1,1,1,1,1,1,1,1,1,71.49,92.66,95.29,0.67,0,0.78,0
6863,2,1,0,1,0,0,0,1,1,0,0,0,0,65.51,79.74,83.77,1,1,1,1
1955,2,1,1,1,0,0,0,1,1,9999,0,0,0,62.98,72.93,75.07,1,1,1,1
6854,2,1,1,1,1,0,1,1,1,1,1,1,1,49.34,57.76,9999,9999,9999,9999,9999
5957,2,0,0,0,0,0,0,0,1,1,1,1,1,57.72,9999,9999,1,1,1,1
1518,2,1,0,0,1,1,1,1,9999,9999,9999,9999,9999,63.99,9999,9999,9999,9999,9999,9999
1132,2,1,0,1,1,1,1,1,1,1,1,1,1,65.79,75.49,79.65,0.67,0,0.78,0
5566,2,0,0,0,0,0,1,1,0,0,0,0,0,49.29,72.73,71.49,0.33,0,0.56,0
4297,2,0,0,1,0,0,0,1,0,0,1,1,1,49.66,52.44,9999,9999,9999,9999,9999
1643,2,1,0,0,0,0,0,0,1,0,0,1,0,65.03,69.95,9999,9999,9999,9999,9999
2274,2,1,9999,0,0,0,0,0,0,0,0,0,0,52.47,52.97,9999,9999,9999,9999,9999
4580,2,0,0,0,1,0,0,1,9999,9999,9999,9999,9999,61.88,9999,89.77,0.67,0,0.78,0
5697,2,0,9999,0,0,0,0,0,0,0,0,0,0,44.34,50.65,9999,0.33,0,0.11,0
2719,2,1,1,0,1,1,1,0,0,0,1,0,0,60.66,73.06,80.99,0.67,0,0.78,0
3770,2,1,0,0,0,0,0,0,0,0,0,0,0,63.45,79.19,86.07,0.33,0,0.33,0
1076,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,53.17,9999,9999,1,1,1,1
4632,2,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,48.51,9999,9999,9999,9999,9999,9999
5576,2,1,0,0,0,0,0,0,1,1,0,0,0,48.37,72.21,75.13,1,1,1,1
5873,2,0,1,1,1,1,1,1,0,0,0,0,0,41.8,52.07,9999,1,1,1,1
1609,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,60.74,9999,78.72,1,1,1,1
5833,2,0,0,9999,1,1,1,1,0,0,0,0,0,61.58,81.04,77.98,1,1,1,1
3549,2,1,0,0,0,0,0,0,1,1,1,0,0,56.53,66.92,65.77,1,1,0.78,0
1942,2,1,0,1,0,0,0,0,0,0,0,0,0,53.15,57.98,9999,1,1,1,1
3601,2,1,0,0,0,0,0,0,0,0,0,0,0,53.91,68.12,72,1,1,0.56,0
5831,2,0,0,0,0,0,0,0,1,0,1,0,0,40.2,61.7,9999,9999,9999,9999,9999
4230,2,0,9999,0,0,0,0,1,0,0,0,0,0,52.41,54.53,9999,9999,9999,9999,9999
5879,2,1,0,1,1,1,1,1,1,1,1,1,1,65.56,87.34,89.02,1,1,0.89,0
3610,2,0,0,1,1,1,1,1,0,0,0,0,0,67.02,83.14,89.1,1,1,1,1
1826,2,1,0,1,1,1,9999,1,0,0,0,0,0,52.94,9999,9999,1,1,0.89,0
1175,2,1,1,0,1,1,1,1,1,1,0,9999,1,57.31,65.49,74.98,0.67,0,0.56,0
2903,2,1,0,1,0,0,0,0,0,0,0,0,0,62.66,75.52,76.39,0.33,0,0.11,0
1222,2,1,0,0,1,0,0,0,0,0,0,0,0,48.56,60.67,57.18,0.67,0,0.89,0
4363,2,1,1,0,1,0,0,0,1,1,1,1,1,58.37,75.94,80.11,1,1,0.78,0
5836,2,0,1,1,1,1,0,1,0,0,0,0,0,70.76,83.67,86.47,1,1,1,1
4834,2,1,0,0,0,0,0,0,1,0,0,0,0,64.95,76.69,9999,1,1,1,1
2554,2,1,9999,0,0,0,0,0,0,0,1,0,0,60.77,74.08,87.72,1,1,0.89,0
5842,2,1,0,0,0,0,0,0,0,0,0,0,0,66.2,85.83,85.1,0.67,0,0.44,0
5072,2,0,0,1,1,9999,1,1,0,0,0,0,0,58.78,68.65,80.7,0.33,0,0.44,0
6463,2,0,0,1,1,1,1,1,0,1,1,0,1,74.4,93.71,96.02,0.67,0,0.44,0
3555,2,0,0,0,1,0,0,0,9999,9999,9999,9999,9999,46.05,50.73,68.39,1,1,0.89,0
2689,2,0,1,0,0,0,1,0,1,1,1,1,1,52.57,81.26,9999,9999,9999,9999,9999
1654,2,1,9999,0,0,0,0,0,1,0,1,1,0,61.03,77.94,86.23,0.67,0,0.78,0
4589,2,0,0,1,0,0,1,0,1,0,0,0,0,54.88,69.49,87.9,0.67,0,0.89,0
3389,2,0,1,1,0,1,0,1,1,0,0,0,1,51.02,90.57,89.58,1,1,0.89,0
2687,2,1,0,1,0,0,0,1,1,0,0,0,0,58,73.04,9999,1,1,1,1
6458,2,0,0,1,1,1,1,1,1,0,0,1,1,55.45,55.31,52.13,0.5,0,0.12,0
2991,2,1,0,0,0,0,0,0,1,0,1,0,0,43.78,59.73,58.63,0.33,0,0.67,0
1124,2,0,0,1,0,0,1,1,0,1,0,0,0,60.3,73.72,9999,1,1,1,1
4173,2,1,0,0,0,0,0,0,0,0,0,0,0,62.03,9999,9999,1,1,1,1
2235,2,0,0,1,1,1,1,1,0,0,0,0,0,79.98,92.12,95.39,0.33,0,0.44,0
5894,2,1,0,0,0,0,0,0,0,0,0,0,1,69.79,73.6,83.9,1,1,0.67,0
4637,2,1,0,0,0,0,1,0,1,0,0,0,0,65.04,73.16,9999,0.67,0,0.78,0
4446,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,37.82,9999,9999,1,1,1,1
4093,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,52.31,9999,9999,1,1,1,1
2556,2,0,1,9999,9999,1,9999,0,0,0,0,0,0,54.8,72.73,9999,1,1,1,1
5157,2,0,0,1,0,1,1,1,1,0,0,0,0,64.5,85.79,9999,0.67,0,0.67,0
1032,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,68.9,9999,9999,9999,9999,9999,9999
2847,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,50.93,9999,9999,9999,9999,9999,9999
1900,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,44.72,9999,9999,9999,9999,9999,9999
2044,2,1,1,1,1,0,0,1,9999,9999,9999,9999,9999,57.67,9999,9999,9999,9999,9999,9999
2099,2,0,0,1,1,1,0,1,1,1,1,1,1,64.27,85.83,92.57,1,1,0.89,0
5174,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,58.83,9999,9999,9999,9999,9999,9999
6328,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,45.52,9999,9999,9999,9999,9999,9999
5042,2,1,9999,0,0,0,1,0,9999,9999,9999,9999,9999,50.71,9999,9999,9999,9999,9999,9999
3947,2,1,0,0,0,1,0,0,9999,9999,9999,9999,9999,52.47,9999,9999,9999,9999,9999,9999
3987,2,0,0,0,0,1,1,0,1,1,1,1,0,52.28,62.76,9999,1,1,1,1
1606,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,54.68,9999,9999,9999,9999,9999,9999
1581,2,0,0,0,0,1,0,1,9999,9999,9999,9999,9999,46.79,9999,9999,9999,9999,9999,9999
2070,2,1,9999,1,1,1,0,1,9999,9999,9999,9999,9999,52.48,9999,9999,9999,9999,9999,9999
4125,2,1,0,0,0,0,0,1,9999,9999,9999,9999,9999,55.1,9999,9999,9999,9999,9999,9999
5508,2,0,0,0,0,0,9999,1,9999,9999,9999,9999,9999,55.53,9999,9999,1,1,1,1
3538,2,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,53.19,9999,9999,9999,9999,9999,9999
2939,2,1,1,0,0,0,0,0,0,1,1,0,0,51.26,50.17,9999,0,0,0,0
5077,2,1,0,0,1,1,1,1,9999,9999,9999,9999,9999,63.62,9999,9999,9999,9999,9999,9999
4645,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,45.47,9999,9999,9999,9999,9999,9999
5867,2,0,0,1,9999,0,1,1,9999,9999,9999,9999,9999,50.25,9999,9999,9999,9999,9999,9999
1169,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,59.22,9999,9999,9999,9999,9999,9999
4592,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,56.17,9999,9999,9999,9999,9999,9999
1218,2,1,0,1,0,1,0,0,0,0,0,0,0,47.83,58.1,9999,1,1,1,1
6796,2,0,0,1,0,0,0,1,0,0,0,0,0,56.18,61.36,64.61,1,1,0.33,0
3104,2,1,0,1,1,1,1,0,9999,9999,9999,9999,9999,65.78,9999,9999,9999,9999,9999,9999
4375,2,0,0,1,1,1,0,1,9999,9999,9999,9999,9999,53.12,9999,9999,9999,9999,9999,9999
4787,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,60.18,9999,9999,9999,9999,9999,9999
1542,2,1,0,0,0,0,0,0,1,0,0,0,0,47.07,9999,9999,1,1,1,1
6640,2,1,0,0,0,1,0,0,9999,9999,9999,9999,9999,59.15,9999,9999,9999,9999,9999,9999
2543,2,0,0,9999,1,0,0,0,9999,9999,9999,9999,9999,45.72,9999,9999,9999,9999,9999,9999
5046,2,0,0,1,0,0,0,0,1,1,1,1,0,66.44,76.99,9999,0.67,0,0.44,0
2076,2,1,0,1,0,0,0,0,1,1,0,1,1,56.82,70.84,64.76,0.67,0,0.67,0
3802,2,1,0,0,1,1,0,0,9999,9999,9999,9999,9999,62.55,9999,9999,9999,9999,9999,9999
5365,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,66.47,9999,9999,9999,9999,9999,9999
6286,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,66.48,9999,9999,9999,9999,9999,9999
2637,2,1,0,0,0,0,0,0,0,0,0,0,0,57.61,72.38,78.87,1,1,0.56,0
1320,2,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,60.48,9999,9999,9999,9999,9999,9999
1646,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,62.23,9999,9999,9999,9999,9999,9999
2724,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,37.77,9999,9999,9999,9999,9999,9999
4966,2,0,0,1,0,1,0,0,9999,9999,9999,9999,9999,68.77,9999,9999,9999,9999,9999,9999
4355,2,0,0,1,1,1,1,0,1,0,0,0,1,64.73,75.79,75.69,1,1,0.89,0
3684,2,0,0,0,0,0,0,1,9999,9999,9999,9999,9999,47.94,9999,9999,9999,9999,9999,9999
3556,2,0,9999,0,1,1,0,0,9999,9999,9999,9999,9999,55.83,9999,9999,9999,9999,9999,9999
1701,2,0,0,0,0,0,0,1,1,0,1,1,0,55.98,77.74,86.58,0.33,0,0.67,0
3355,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,66.32,9999,9999,9999,9999,9999,9999
4844,2,0,0,0,0,0,0,1,9999,9999,9999,9999,9999,47.43,9999,9999,9999,9999,9999,9999
2087,2,1,0,1,0,0,0,0,0,0,1,0,0,62.7,71.21,64.77,1,1,0.44,0
2465,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,54.31,9999,9999,9999,9999,9999,9999
2757,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,53.96,9999,9999,9999,9999,9999,9999
6156,2,1,9999,1,0,0,1,1,1,0,0,0,0,59.3,9999,9999,9999,9999,9999,9999
6197,2,1,1,0,0,1,1,0,9999,9999,9999,9999,9999,40.41,9999,9999,9999,9999,9999,9999
3007,2,1,0,1,1,1,1,1,1,1,1,1,1,54.51,74.62,78.47,0.67,0,0.89,0
4028,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,59.65,9999,9999,9999,9999,9999,9999
2610,2,1,0,1,1,0,0,1,9999,9999,9999,9999,9999,59.75,9999,9999,9999,9999,9999,9999
6789,2,1,0,1,1,1,0,0,9999,9999,9999,9999,9999,63.21,9999,9999,9999,9999,9999,9999
4268,2,0,0,1,1,1,1,1,1,1,1,1,1,63.48,70.23,9999,1,1,1,1
6695,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,54.3,9999,9999,9999,9999,9999,9999
3223,2,0,0,1,1,1,0,0,9999,9999,9999,9999,9999,51.8,9999,9999,9999,9999,9999,9999
4796,2,0,0,1,1,1,1,0,0,0,0,0,0,64.56,70.59,84.78,0.33,0,0.56,0
1742,2,0,0,1,1,9999,1,1,9999,9999,9999,9999,9999,54.69,9999,9999,9999,9999,9999,9999
4914,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,59.49,9999,9999,9999,9999,9999,9999
6870,2,1,0,0,0,0,0,0,1,0,0,1,0,58,53.11,9999,1,1,1,1
6595,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,60.31,9999,9999,9999,9999,9999,9999
4562,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,63.93,9999,9999,9999,9999,9999,9999
5129,2,1,0,0,0,0,0,1,9999,9999,9999,9999,9999,56.39,9999,9999,9999,9999,9999,9999
4452,2,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,51.31,9999,9999,9999,9999,9999,9999
4435,2,1,1,1,1,1,1,1,0,0,0,0,0,50.81,54.36,9999,1,1,0.71,0
3925,2,1,0,0,1,1,1,1,9999,9999,9999,9999,9999,55.55,9999,9999,9999,9999,9999,9999
2647,2,0,0,0,0,9999,0,0,9999,9999,9999,9999,9999,52.16,9999,9999,9999,9999,9999,9999
4246,2,0,0,1,0,1,0,0,9999,9999,9999,9999,9999,65.07,9999,9999,9999,9999,9999,9999
2755,2,0,0,1,1,1,1,1,0,0,0,0,0,62.71,72.98,9999,1,1,0.44,0
1355,2,0,0,0,0,1,0,0,1,1,1,1,1,68.65,88.96,9999,1,1,1,1
6087,2,0,0,1,1,1,1,1,1,0,0,0,0,75.42,80.89,9999,0.67,0,0.67,0
2316,2,0,0,1,1,1,1,1,1,1,1,1,1,58.03,73.41,9999,1,1,1,1
2326,2,0,0,1,0,0,0,0,0,0,0,0,0,43.05,62.98,68.99,0.67,0,0.33,0
4369,2,0,0,1,1,1,1,1,1,1,1,1,1,58.56,62.29,9999,1,1,1,1
1405,2,0,0,1,0,1,1,1,1,1,1,1,0,50.14,63.88,67.9,1,1,0.89,0
3183,2,0,0,1,1,0,0,1,1,0,0,1,0,57.83,71,9999,0,0,0.22,0
5139,2,1,0,0,0,0,0,1,0,1,0,1,1,59.32,67.59,65.9,0,0,0.25,0
1261,2,1,0,0,0,0,0,0,0,0,0,0,0,60.52,9999,9999,1,1,1,1
6253,2,1,0,1,0,0,0,0,1,1,1,1,1,70.07,81.96,86.09,1,1,0.67,0
5898,2,1,0,1,0,0,0,0,1,9999,0,0,0,61.49,73.65,77.84,1,1,0.89,0
1636,2,0,1,1,0,0,0,0,9999,9999,9999,9999,9999,50.46,9999,61.05,1,1,1,1
6032,2,0,0,1,1,1,1,1,1,0,1,1,1,64.61,84.83,91.86,1,1,0.89,0
3102,2,1,0,0,1,1,0,0,0,0,0,0,0,50.14,58.43,51.84,0,0,0,0
1782,2,1,0,1,0,1,1,1,9999,9999,9999,9999,9999,45.3,9999,9999,9999,9999,9999,9999
3330,2,0,0,0,0,1,0,0,1,1,1,1,1,48.81,62.95,9999,9999,9999,9999,9999
2439,2,0,0,1,0,0,0,0,0,0,0,0,0,63.13,66.01,9999,1,1,1,1
5739,2,1,0,1,0,0,0,1,1,0,0,0,0,57.18,78.6,81.94,0.67,0,0.78,0
6160,2,1,0,0,0,0,0,0,0,0,0,0,0,64.19,71.95,9999,1,1,1,1
2635,2,1,0,1,1,1,0,1,1,1,0,1,1,51.9,63,68.67,1,1,1,1
6378,2,0,0,1,0,0,0,1,0,0,1,0,0,48.1,69.62,72.22,0.33,0,0.44,0
2001,2,0,1,0,1,1,1,1,9999,9999,9999,9999,9999,31.25,9999,9999,9999,9999,9999,9999
3648,2,0,0,0,1,0,1,0,9999,9999,9999,9999,9999,52.23,9999,9999,9999,9999,9999,9999
1570,2,1,0,0,1,0,0,0,1,0,0,0,1,58.85,71.15,9999,1,1,1,1
5197,2,1,0,0,0,0,0,0,0,0,0,0,0,66.83,77.65,79.98,1,1,0.78,0
4653,2,0,0,1,1,1,1,1,1,1,1,1,1,68.6,77.17,84.98,1,1,0.89,0
1910,2,0,0,0,1,1,1,1,1,0,0,1,1,44.63,9999,9999,1,1,1,1
4617,2,0,0,1,1,1,1,1,1,1,1,1,1,57.05,68.17,81.06,1,1,0.89,0
4503,2,0,0,0,0,0,0,0,1,0,1,0,0,70.8,93.59,9999,1,1,1,1
3030,2,0,0,1,0,0,1,1,1,1,1,1,1,62.46,76.6,84.54,1,1,0.78,0
1319,2,1,0,1,0,0,0,1,0,1,1,1,1,47.81,9999,9999,0,0,0.12,0
2198,2,0,0,1,0,9999,0,0,1,1,1,1,1,56.52,77.97,9999,1,1,1,1
3965,2,0,0,1,0,1,1,1,0,0,0,0,0,53.77,66.86,64.85,0.33,0,0.78,0
2400,2,1,0,1,0,0,0,0,0,0,0,0,0,52.63,61.22,62.97,0.33,0,0.11,0
6066,2,0,0,1,1,1,1,1,1,1,1,1,1,39.38,45.49,9999,1,1,1,1
4733,2,0,1,0,1,9999,0,1,1,1,0,0,0,59.43,57.25,9999,0.67,0,0.78,0
6596,2,0,1,1,1,1,1,1,1,1,1,1,1,57.44,65.33,9999,1,1,1,1
1045,2,0,0,0,0,0,0,1,0,1,1,1,1,71.87,88.97,97.56,1,1,0.89,0
2673,2,1,0,1,0,1,0,0,1,1,1,9999,0,56.39,76.14,77.94,1,1,1,1
3636,2,0,0,1,1,1,1,1,0,0,0,0,0,53.12,62.05,9999,9999,9999,9999,9999
3111,2,0,0,0,0,0,0,0,1,0,0,0,0,54.9,67,9999,0.33,0,0.11,0
2886,2,1,0,0,0,0,0,0,0,0,1,0,0,73.39,85.03,84.8,0.67,0,0.44,0
2384,2,1,0,1,1,0,0,1,1,1,1,1,1,59.38,63.94,55.7,0.33,0,0.33,0
1065,2,1,0,1,1,0,0,1,1,1,1,1,1,57.98,72.4,65.2,1,1,0.89,0
1541,2,0,0,0,0,0,0,1,9999,9999,9999,9999,9999,43.02,9999,9999,0.33,0,0.78,0
6728,2,1,0,0,1,1,1,1,1,0,0,0,0,47.35,46.22,46.59,1,1,1,1
1953,2,0,0,1,1,1,1,0,1,1,1,0,0,51.33,81.42,80.25,1,1,1,1
4837,2,1,0,0,0,0,1,1,0,0,0,1,0,39.98,56.42,59.9,0.33,0,0.11,0
5000,2,1,0,0,0,0,0,0,1,0,0,0,0,36.52,42.77,9999,9999,9999,9999,9999
5851,2,0,0,0,0,0,0,0,0,0,1,0,0,45.45,66.94,9999,0,0,0,0
6055,2,0,0,0,1,1,1,1,0,0,0,0,0,34.72,37.5,9999,0,0,0,0
4827,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,41.31,9999,9999,1,1,1,1
4076,2,1,0,1,0,0,0,0,0,0,0,0,1,43.64,51,65.1,0,0,0.56,0
3967,2,1,0,1,0,0,0,0,0,0,0,0,0,55.33,73.95,77.75,0.5,0,0.88,0
6937,2,1,0,1,1,1,1,1,0,0,0,0,0,57.78,69.69,80.45,0.67,0,0.89,0
6753,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,36.19,9999,9999,0,0,0,0
3671,2,0,0,1,0,0,0,1,0,1,1,0,0,47.7,67.99,76.35,0.67,0,0.67,0
6634,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,34.44,9999,9999,9999,9999,9999,9999
3750,2,1,0,0,0,0,0,0,1,1,1,1,1,43.78,45.75,54.51,0,0,0.11,0
4809,2,1,0,0,1,1,1,1,1,0,0,0,0,69.63,86.71,92.39,0.33,0,0.33,0
6159,2,1,0,1,1,1,0,0,0,0,0,0,0,41.18,58.14,9999,1,1,1,1
5207,2,1,0,0,0,0,0,0,1,1,1,0,0,45.58,9999,9999,0,0,0,0
4493,2,1,0,1,0,0,1,1,0,0,0,0,0,50.86,60.75,9999,9999,9999,9999,9999
5159,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,33.38,9999,9999,1,1,1,1
4786,2,0,0,0,0,1,0,0,1,0,0,0,0,47.59,64.76,64.91,0.67,0,0.56,0
5115,2,1,0,1,0,0,0,0,0,0,1,0,0,59.45,68.12,88.35,0.67,0,0.67,0
1532,2,0,0,0,0,0,0,0,0,0,0,0,0,34.98,35.93,9999,1,1,1,1
5299,2,0,0,0,0,0,0,0,0,0,0,0,0,31.3,43.85,9999,0,0,0.75,0
6506,2,0,0,1,1,1,1,1,1,0,0,1,0,48.42,84.33,73.92,0.67,0,0.78,0
4742,2,1,0,1,1,1,0,0,0,0,9999,0,0,36.18,41.21,9999,0,0,0,0
1127,2,0,0,0,0,0,9999,1,9999,9999,9999,9999,9999,33.69,9999,9999,9999,9999,9999,9999
5610,2,1,0,1,1,0,1,1,9999,9999,9999,9999,9999,56.95,9999,9999,9999,9999,9999,9999
4195,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,50.44,9999,9999,9999,9999,9999,9999
6920,2,0,0,1,1,1,1,1,1,1,1,1,1,39.5,71.02,77.37,1,1,1,1
5213,2,1,0,1,0,0,0,0,0,1,1,0,1,67.86,79.38,89.92,1,1,0.78,0
1888,2,0,1,0,0,0,0,1,9999,9999,9999,9999,9999,39.48,9999,9999,9999,9999,9999,9999
6387,2,1,0,1,1,1,1,1,0,0,0,0,0,44.74,55.83,56.9,0.33,0,0.78,0
5352,2,1,0,1,0,1,0,0,0,0,1,0,0,62.16,9999,9999,0.67,0,0.44,0
1897,2,1,0,1,1,0,0,1,1,1,1,0,1,48.21,9999,9999,1,1,0.89,0
5495,2,1,0,1,0,0,0,0,1,0,1,0,1,47.6,53.14,57.94,1,1,1,1
6243,2,0,0,1,1,1,0,0,0,1,1,0,0,40.1,59.36,9999,9999,9999,9999,9999
2467,2,0,0,1,1,1,1,0,0,0,0,1,0,60.97,77.97,81.9,1,1,0.67,0
6270,2,0,0,1,1,1,0,1,1,1,1,0,0,34.03,49.73,9999,9999,9999,9999,9999
2006,2,0,0,1,1,1,1,0,1,1,0,0,0,49.08,64.37,64.77,1,1,1,1
2832,2,1,0,1,1,1,1,1,0,0,0,0,0,43.88,66.27,71.42,0.5,0,0.75,0
1483,2,1,0,1,0,0,0,0,0,0,1,0,0,47.49,60.03,9999,9999,9999,9999,9999
5527,2,1,0,1,1,0,1,1,1,1,1,1,1,61.63,79.31,84.61,0.5,0,0.75,0
1153,2,1,0,1,1,0,1,1,0,0,0,0,0,37.45,48.21,9999,1,1,1,1
5395,2,1,0,1,1,1,1,1,0,0,1,0,0,69.06,78.13,88,0.33,0,0.44,0
2913,2,1,0,1,0,0,0,1,0,0,0,1,0,57.71,9999,65.45,0.67,0,0.22,0
2931,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,31.9,9999,9999,9999,9999,9999,9999
4958,2,1,0,1,0,1,0,1,0,0,0,0,0,65.79,78.65,81.68,1,1,1,1
6317,2,0,0,0,0,1,0,1,9999,9999,9999,9999,9999,53.09,9999,9999,1,1,1,1
1775,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,46.4,9999,63.18,1,1,0.89,0
5474,2,1,0,1,0,0,0,0,1,1,1,0,1,66.97,78.94,84.54,1,1,0.89,0
4445,2,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,38.32,9999,9999,9999,9999,9999,9999
6264,2,1,1,0,1,1,1,1,0,0,1,0,1,63.46,78.39,9999,9999,9999,9999,9999
