casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
3299,2,1,0,1,0,0,0,1,1,1,1,1,1,51.41,9999,9999,0,0,0.62,0
5374,2,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,44.11,9999,9999,9999,9999,9999,9999
3746,2,0,0,1,0,0,1,0,0,9999,1,0,1,48.8,9999,9999,9999,9999,9999,9999
5353,2,0,0,1,0,1,9999,0,1,0,0,0,0,51.78,62.25,9999,9999,9999,9999,9999
4533,2,0,1,1,0,0,0,0,1,1,1,1,1,47.81,43.23,9999,1,1,1,1
2417,2,1,1,1,1,0,0,0,0,0,0,0,0,49.73,61.09,67.63,0.67,0,0.22,0
6901,2,1,1,1,0,1,0,0,1,0,1,0,0,47.33,54.61,9999,9999,9999,9999,9999
3616,2,0,0,0,0,1,0,1,9999,9999,9999,9999,9999,40.39,9999,9999,9999,9999,9999,9999
3094,2,0,0,1,1,1,1,1,0,0,0,0,0,42.58,46.75,9999,9999,9999,9999,9999
1378,2,0,0,1,0,1,1,0,0,0,0,0,0,33,37.86,39.14,0.33,0,0.22,0
2063,2,1,0,1,1,1,0,0,1,1,0,1,1,37.63,38.83,47.27,0.33,0,0.33,0
4582,2,0,9999,1,1,1,1,1,9999,9999,9999,9999,9999,48.03,9999,9999,1,1,1,1
6062,2,0,1,1,0,1,1,1,9999,9999,9999,9999,9999,42.98,9999,9999,9999,9999,9999,9999
1976,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,48.33,46.61,9999,1,1,1,1
4092,2,1,0,1,1,0,0,1,9999,9999,9999,9999,9999,42.11,9999,9999,9999,9999,9999,9999
2319,2,0,0,0,1,1,1,1,9999,9999,9999,9999,9999,36.17,9999,9999,1,1,1,1
1721,2,0,0,1,1,9999,0,0,0,0,9999,0,0,48.05,9999,9999,0,0,0,0
3996,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,44.19,9999,9999,0,0,0,0
4754,2,1,0,0,0,1,1,0,9999,9999,9999,9999,9999,31.14,9999,9999,9999,9999,9999,9999
3585,2,0,0,0,1,1,1,0,0,9999,1,0,0,38.34,36.46,9999,9999,9999,9999,9999
2784,2,0,9999,1,1,1,0,1,9999,9999,9999,9999,9999,36.78,9999,9999,9999,9999,9999,9999
